method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_images_jitter
combined,80,42,0.0,80000,random,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,12.29829216003418,0.713121771812439,0.17380006611347198,1000000,0.7417770624160767,37.029598236083984,-0.20438225936238985,87124,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p80000_random_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p80000_random_farthestpose_i80_gteval_steps15000,37.0296,2.809106,combined | random | Local Alignment,80.0
combined,90,42,0.0,90000,ba,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,20.130271911621094,0.2807469069957733,0.4205055236816406,1000000,0.004443000070750713,0.132999986410141,0.3518246648139656,103386,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n90_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p90000_random_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p90000_random_farthestpose_i90_gteval_steps15000,0.133,0.018113,combined | ba | Global Alignment,90.0
combined,90,42,0.0,90000,random,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,19.55183219909668,0.372964084148407,0.3887861669063568,1000000,0.004443000070750713,0.132999986410141,0.2656393034106497,103386,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n90_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p90000_random_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p90000_random_farthestpose_i90_gteval_steps15000,0.133,0.018113,combined | random | Local Alignment,90.0
combined,100,42,0.0,100000,ba,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,gsplat,20.981658935546875,0.25976696610450745,0.4971108138561249,1000000,0.004348000045865774,0.10489999502897263,0.4253400872867552,116627,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_steps15000,0.1049,0.017545,combined | ba | Global Alignment,100.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,gsplat,20.699256896972656,0.3356006145477295,0.46739593148231506,1000000,0.004348000045865774,0.10489999502897263,0.3559224016097864,116627,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_i100_gteval_steps15000,0.1049,0.017545,combined | random | Local Alignment,100.0
vggt,10,42,0.0,10000,random,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,14.003073692321777,0.5843101143836975,0.1791033148765564,1000000,0.030797002837061882,1.569100022315979,-0.09019754713738866,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p10000_random_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_c0.0_p10000_random_farthestpose_i10_gteval_steps15000,1.569,0.141985,vggt | random | ,10.0
vggt,20,42,0.0,20000,random,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,15.437023162841797,0.5050304532051086,0.2100033164024353,1000000,0.025717996060848236,1.3446000814437866,0.0033653114738985135,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p20000_random_farthestpose_i20_gteval_steps15000,1.3446,0.119326,vggt | random | ,20.0
vggt,30,42,0.0,30000,random,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,15.942197799682617,0.4840046167373657,0.21883776783943176,1000000,0.019523000344634056,0.9797000288963318,0.030865654610751005,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p30000_random_farthestpose_i30_gteval_steps15000,0.9795,0.090795,vggt | random | ,30.0
vggt,40,42,0.0,40000,random,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,16.25253677368164,0.47818252444267273,0.22723965346813202,1000000,0.0186419989913702,0.8855998516082764,0.04511994018889316,40000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p40000_random_farthestpose_i40_gteval_steps15000,0.8856,0.086546,vggt | random | ,40.0
vggt,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,16.605268478393555,0.457853764295578,0.23165930807590485,1000000,0.01934400014579296,0.9197998642921448,0.06678521950729799,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p50000_random_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p50000_random_farthestpose_i50_gteval_steps15000,0.9199,0.086453,vggt | random | ,50.0
vggt,60,42,0.0,60000,random,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,16.719764709472656,0.44797489047050476,0.23902425169944763,1000000,0.01655600033700466,0.836899995803833,0.07931057492039902,60000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p60000_random_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_c0.0_p60000_random_farthestpose_i60_gteval_steps15000,0.8369,0.071063,vggt | random | ,60.0
vggt,70,42,0.0,70000,random,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,16.764728546142578,0.4515571594238281,0.24116288125514984,1000000,0.01743599958717823,0.9155000448226929,0.07918262198964368,70000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p70000_random_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_c0.0_p70000_random_farthestpose_i70_gteval_steps15000,0.9155,0.07769,vggt | random | ,70.0
vggt,80,42,0.0,80000,random,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,17.0147705078125,0.44335314631462097,0.24836887419223785,1000000,0.01695599965751171,0.8730999827384949,0.09309126526756364,80000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p80000_random_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_c0.0_p80000_random_farthestpose_i80_gteval_steps15000,0.873,0.073069,vggt | random | ,80.0
vggt,90,42,0.0,90000,random,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,17.05978012084961,0.44275450706481934,0.25159943103790283,1000000,0.01613599993288517,0.8906999826431274,0.09618352155084349,90000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p90000_random_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_c0.0_p90000_random_farthestpose_i90_gteval_steps15000,0.8907,0.071127,vggt | random | ,90.0
vggt,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,,,,gsplat,17.1896915435791,0.44000211358070374,0.2579127252101898,1000000,0.015425998717546463,0.8569999933242798,0.10398028185802906,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | random | ,100.0
