choice,dataset,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,counter,20,points,0.116,8.215845108032227,0.8393736481666565,0.38493847846984863,,
COLMAP,counter,30,,0.6777,15.262022972106934,0.5092620849609375,0.4885578751564026,,
COLMAP,counter,30,points,0.6777,15.270936965942383,0.5107088088989258,0.5018017888069153,,
COLMAP,counter,40,,0.1776,16.691198348999023,0.4448277950286865,0.5393339395523071,,
COLMAP,counter,40,points,0.1776,16.39432144165039,0.45556873083114624,0.5152339339256287,,
VGGT,counter,5,,1.1943,12.961959838867188,0.6020767092704773,0.3535612225532532,,
VGGT,counter,5,closer,1.1943,12.44705867767334,0.6127027273178101,0.33192873001098633,,
VGGT,counter,5,full,1.1943,12.769659996032715,0.5796881914138794,0.33987823128700256,,
VGGT,counter,5,points,1.1943,12.701443672180176,0.5874753594398499,0.32902178168296814,,
VGGT,counter,10,,1.0595,14.630772590637207,0.529693603515625,0.4285721480846405,,
VGGT,counter,10,closer,1.0595,14.172990798950195,0.5310961604118347,0.4047727882862091,,
VGGT,counter,10,full,1.0595,14.249979972839355,0.5041077733039856,0.41595062613487244,,
VGGT,counter,10,points,1.0595,14.256112098693848,0.515708327293396,0.40503358840942383,,
VGGT,counter,20,,0.4873,16.50326156616211,0.4099852442741394,0.4949265122413635,,
VGGT,counter,20,closer,0.4873,16.37965965270996,0.4083552956581116,0.48923543095588684,,
VGGT,counter,20,full,0.4873,16.30850601196289,0.3982497453689575,0.49058419466018677,,
VGGT,counter,20,points,0.4873,16.23073959350586,0.4175405502319336,0.47582632303237915,,
VGGT,counter,30,,0.3534,17.623441696166992,0.35817795991897583,0.5414295196533203,,
VGGT,counter,30,closer,0.3534,18.250171661376953,0.33749428391456604,0.5701280236244202,,
VGGT,counter,30,full,0.3534,17.28729248046875,0.3585645854473114,0.5289648771286011,,
VGGT,counter,30,points,0.3534,17.271814346313477,0.37299853563308716,0.5203019976615906,,
VGGT,counter,40,,0.3566,18.961111068725586,0.3114233613014221,0.5920451283454895,,
VGGT,counter,40,closer,0.3566,19.053300857543945,0.3105199337005615,0.596390962600708,,
VGGT,counter,40,full,0.3566,18.83502769470215,0.3127005100250244,0.6021215319633484,,
VGGT,counter,40,points,0.3566,18.608522415161133,0.3255532681941986,0.5735238790512085,,
