method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
vggt,20,42,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,15.269786834716797,0.5280897617340088,0.20857051014900208,1000000,0.025717996060848236,1.3446000814437866,22628,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000/stats/val_step14999.json,1.3446,0.119326,vggt | voxels | 14999,20.0
vggt,20,42,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,15.115450859069824,0.5159942507743835,0.19618827104568481,1000000,0.025717996060848236,1.3446000814437866,22628,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps30000/stats/val_step29999.json,1.3446,0.119326,vggt | voxels | 29999,20.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,16.537736892700195,0.6095308065414429,0.2638530433177948,769172,0.019523000344634056,0.9797000288963318,33886,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000/stats/val_step6999.json,0.9795,0.090795,vggt | voxels | 6999,30.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,15.878649711608887,0.5002561211585999,0.21767626702785492,1000000,0.019523000344634056,0.9797000288963318,33886,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000/stats/val_step14999.json,0.9795,0.090795,vggt | voxels | 14999,30.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,15.60102367401123,0.4869890511035919,0.2027241438627243,1000000,0.019523000344634056,0.9797000288963318,33886,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps30000/stats/val_step29999.json,0.9795,0.090795,vggt | voxels | 29999,30.0
vggt,40,42,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,16.989152908325195,0.6071404814720154,0.27557122707366943,987765,0.0186419989913702,0.8855998516082764,43515,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000/stats/val_step6999.json,0.8856,0.086546,vggt | voxels | 6999,40.0
vggt,40,42,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,16.334716796875,0.49311622977256775,0.23024408519268036,1000000,0.0186419989913702,0.8855998516082764,43515,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000/stats/val_step14999.json,0.8856,0.086546,vggt | voxels | 14999,40.0
vggt,40,42,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.012210845947266,0.4783775210380554,0.21352967619895935,1000000,0.0186419989913702,0.8855998516082764,43515,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps30000/stats/val_step29999.json,0.8856,0.086546,vggt | voxels | 29999,40.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.2822208404541,0.6035707592964172,0.28210604190826416,1000000,0.01934400014579296,0.9197998642921448,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps30000/stats/val_step6999.json,0.9199,0.086453,vggt | voxels | 6999,50.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,16.710235595703125,0.48017746210098267,0.23867638409137726,1000000,0.01934400014579296,0.9197998642921448,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps30000/stats/val_step14999.json,0.9199,0.086453,vggt | voxels | 14999,50.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.386030197143555,0.46037858724594116,0.2206108272075653,1000000,0.01934400014579296,0.9197998642921448,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps30000/stats/val_step29999.json,0.9199,0.086453,vggt | voxels | 29999,50.0
vggt,60,42,0.0,66000,voxels,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.281049728393555,0.5932828187942505,0.28517335653305054,1000000,0.01655600033700466,0.836899995803833,67566,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps30000/stats/val_step6999.json,0.8369,0.071063,vggt | voxels | 6999,60.0
vggt,60,42,0.0,66000,voxels,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,16.802654266357422,0.467292845249176,0.243814617395401,1000000,0.01655600033700466,0.836899995803833,67566,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps30000/stats/val_step14999.json,0.8369,0.071063,vggt | voxels | 14999,60.0
vggt,60,42,0.0,66000,voxels,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.522478103637695,0.4458264708518982,0.22650931775569916,1000000,0.01655600033700466,0.836899995803833,67566,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps30000/stats/val_step29999.json,0.8369,0.071063,vggt | voxels | 29999,60.0
vggt,70,42,0.0,77000,voxels,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.384416580200195,0.6023193001747131,0.2899303436279297,1000000,0.01743599958717823,0.9155000448226929,76966,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps30000/stats/val_step6999.json,0.9155,0.07769,vggt | voxels | 6999,70.0
vggt,70,42,0.0,77000,voxels,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,16.899005889892578,0.4748997688293457,0.24809019267559052,1000000,0.01743599958717823,0.9155000448226929,76966,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps30000/stats/val_step14999.json,0.9155,0.07769,vggt | voxels | 14999,70.0
