method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
colmap,80,44,,7158,,farthestpose,80,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.05112075805664,0.4853546917438507,0.34559744596481323,1000000,0.0016870000399649143,0.14079999923706055,0.14321487057588567,7158,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s44_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s44_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1408,0.005501,48,colmap,80.0
colmap,90,42,,13426,,farthestpose,90,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,20.386302947998047,0.4009569585323334,0.4223898947238922,1000000,0.00230599963106215,0.11469998955726624,0.2834642161557704,13426,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_steps15000,0.1147,0.009408,90,colmap,90.0
colmap,90,43,,13545,,farthestpose,90,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.02322769165039,0.39369842410087585,0.45239952206611633,1000000,0.002070999937132001,0.12190000712871552,0.31728918529935596,13545,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s43_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s43_default_farthestpose_sharedcam_i90_gteval_steps15000,0.1219,0.008426,90,colmap,90.0
colmap,90,44,,13438,,farthestpose,90,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,20.75525665283203,0.4002358615398407,0.4436739385128021,1000000,0.002314999932423234,0.12770000100135803,0.3031886230047993,13438,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s44_default_farthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s44_default_farthestpose_sharedcam_i90_gteval_steps15000,0.1277,0.009443,90,colmap,90.0
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,colmap,100.0
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.266855239868164,0.3772125244140625,0.4722321927547455,1000000,0.001961000030860305,0.10180000215768814,0.34357534088509045,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1018,0.00789,100,colmap,100.0
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.374887466430664,0.37176376581192017,0.4811028838157654,1000000,0.0022849999368190765,0.10419999063014984,0.35412690754135057,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1042,0.00919,100,colmap,100.0
vggt,10,42,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.776254653930664,0.604614794254303,0.17614418268203735,1000000,0.030797002837061882,1.569100022315979,-0.10866213937019505,10431,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000,1.569,0.141985,10,vggt,10.0
vggt,10,43,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.387561798095703,0.5932914018630981,0.18088732659816742,1000000,0.03073199838399887,1.501499891281128,-0.10609663845735214,11248,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s43_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s43_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000,1.5015,0.136115,10,vggt,10.0
vggt,10,44,0.0,11000,voxels,farthestpose,10,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.31312370300293,0.5960835218429565,0.19681541621685028,1000000,0.03278400003910065,1.4469000101089478,-0.0813654617414294,10976,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s44_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s44_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000,1.4469,0.147162,10,vggt,10.0
vggt,20,42,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.335905075073242,0.5429176688194275,0.21507953107357025,1000000,0.025717996060848236,1.3446000814437866,-0.01892586924798926,22628,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000,1.3446,0.119326,20,vggt,20.0
vggt,20,43,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.246356010437012,0.5386507511138916,0.20720645785331726,1000000,0.02169700153172016,1.1844998598098755,-0.02255442182765214,21970,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s43_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s43_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000,1.1844,0.095293,20,vggt,20.0
vggt,20,44,0.0,22000,voxels,farthestpose,20,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.300024032592773,0.5441586375236511,0.2127653956413269,1000000,0.02235499769449234,1.2003000974655151,-0.021709658636374418,22666,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s44_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s44_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000,1.2005,0.097247,20,vggt,20.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.923541069030762,0.5183902382850647,0.22487258911132812,1000000,0.019523000344634056,0.9797000288963318,0.012823602532008205,33886,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000,0.9795,0.090795,30,vggt,30.0
vggt,30,43,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.882033348083496,0.5210244655609131,0.22155192494392395,1000000,0.020005999132990837,0.9989000558853149,0.008486965943498254,32127,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s43_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s43_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000,0.999,0.094576,30,vggt,30.0
vggt,30,44,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.706368446350098,0.5340538024902344,0.2215723693370819,1000000,0.02150600217282772,1.2304999828338623,-0.002796932580488039,32687,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s44_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s44_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000,1.2305,0.102001,30,vggt,30.0
vggt,40,42,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.36321449279785,0.5116657018661499,0.23805102705955505,1000000,0.0186419989913702,0.8855998516082764,0.032823340237489264,43515,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000,0.8856,0.086546,40,vggt,40.0
vggt,40,43,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.323362350463867,0.5067093372344971,0.2350231558084488,1000000,0.020128000527620316,0.9060000777244568,0.033374137000033735,42692,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s43_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s43_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000,0.9061,0.087753,40,vggt,40.0
vggt,40,44,0.0,44000,voxels,farthestpose,40,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.49939727783203,0.5092498660087585,0.23653224110603333,1000000,0.02038400247693062,0.9262000322341919,0.035948321445953425,44823,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s44_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s44_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000,0.9262,0.092425,40,vggt,40.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.71922492980957,0.4964630901813507,0.24436457455158234,1000000,0.01934400014579296,0.9197998642921448,0.052492587344843224,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.9199,0.086453,50,vggt,50.0
vggt,50,43,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.879575729370117,0.4718780517578125,0.24196796119213104,1000000,0.018042000010609627,0.7686999440193176,0.06923646795974299,57002,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s43_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.7686,0.079451,50,vggt,50.0
vggt,50,44,0.0,55000,voxels,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.770620346069336,0.49961692094802856,0.2466667890548706,1000000,0.019300002604722977,0.9164000749588013,0.052843869468312245,55885,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s44_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s44_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.9165,0.086201,50,vggt,50.0
