method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_images_jitter
colmap,40,43,,20306,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,12.533422470092773,0.7042900323867798,0.3916839063167572,1000000,0.1477230042219162,8.901599884033203,-0.06715885294653356,20306,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s43_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n40_s43_default_farthestpose_i40_gteval_poseopt_steps15000,8.9552,0.683875,colmap | Pose Opt,40.0
colmap,40,44,,13153,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,13.93751049041748,0.5893825888633728,0.4680817723274231,1000000,0.05637500062584877,1.9859998226165771,0.07445041237906103,13153,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s44_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s44_default_farthestpose_i40_gteval_steps15000,1.986,0.19358,colmap | ,40.0
colmap,40,44,,13153,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,14.127588272094727,0.583017110824585,0.47398969531059265,1000000,0.055146005004644394,1.9181996583938599,0.08535460445151229,13153,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s44_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n40_s44_default_farthestpose_i40_gteval_poseopt_steps15000,1.986,0.19358,colmap | Pose Opt,40.0
colmap,50,42,,36535,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.347726821899414,0.3547690808773041,0.5755265951156616,1000000,,,0.3637774679628265,36535,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_farthestpose_i50_gteval_steps15000,0.5257,0.081737,colmap | ,50.0
colmap,50,42,,36535,,farthestpose,50,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.590408325195312,0.3275402784347534,0.5868226289749146,1000000,0.015448001213371754,0.412600040435791,0.39168534037197766,36535,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_farthestpose_i50_gteval_poseopt_steps15000,0.5257,0.081737,colmap | Pose Opt,50.0
colmap,50,44,,33432,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,17.314516067504883,0.42014098167419434,0.5491011738777161,1000000,0.028650999069213867,0.9243999123573303,0.28883744757852436,33432,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s44_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s44_default_farthestpose_i50_gteval_steps15000,0.9244,0.12704,colmap | ,50.0
colmap,50,44,,33432,,farthestpose,50,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,17.532901763916016,0.39305776357650757,0.5583752989768982,1000000,0.025251999497413635,0.7757999300956726,0.31502312797474497,33432,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s44_default_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n50_s44_default_farthestpose_i50_gteval_poseopt_steps15000,0.9244,0.12704,colmap | Pose Opt,50.0
colmap,60,42,,47649,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.323095321655273,0.34385454654693604,0.5799478888511658,1000000,,,0.3726442478321217,47649,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_default_farthestpose_i60_gteval_steps15000,0.4776,0.067621,colmap | ,60.0
colmap,60,42,,47649,,farthestpose,60,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.507164001464844,0.3264177739620209,0.5852240920066833,1000000,0.014135001227259636,0.4038999676704407,0.3899018658764413,47649,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_default_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_default_farthestpose_i60_gteval_poseopt_steps15000,0.4776,0.067621,colmap | Pose Opt,60.0
colmap,60,44,,47473,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,17.532922744750977,0.39519286155700684,0.559818685054779,1000000,0.025839000940322876,0.7469000220298767,0.31454964021802956,47473,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s44_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bonsai_2_n60_s44_default_farthestpose_i60_gteval_steps15000,0.7469,0.115229,colmap | ,60.0
colmap,60,44,,47473,,farthestpose,60,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,17.740976333618164,0.37753787636756897,0.5641352534294128,1000000,0.023847000673413277,0.6820000410079956,0.3318249324531506,47473,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s44_default_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n60_s44_default_farthestpose_i60_gteval_poseopt_steps15000,0.7469,0.115229,colmap | Pose Opt,60.0
colmap,70,42,,57052,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.19729232788086,0.3510153591632843,0.5703105330467224,1000000,,,0.36025842747338177,57052,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_default_farthestpose_i70_gteval_steps15000,0.5947,0.077723,colmap | ,70.0
colmap,70,42,,57052,,farthestpose,70,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.40089988708496,0.3298078179359436,0.5761328339576721,1000000,0.015830999240279198,0.49790000915527344,0.38052486699459376,57052,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_default_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_default_farthestpose_i70_gteval_poseopt_steps15000,0.5947,0.077723,colmap | Pose Opt,70.0
colmap,70,44,,57357,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,16.96998405456543,0.41026487946510315,0.551437258720398,1000000,0.0691009983420372,1.071100115776062,0.289919715991959,57357,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s44_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bonsai_2_n70_s44_default_farthestpose_i70_gteval_steps15000,1.0711,0.4709,colmap | ,70.0
colmap,70,44,,57357,,farthestpose,70,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,17.09402847290039,0.39123982191085815,0.5514308214187622,1000000,0.0681530013680458,0.9922999739646912,0.3039569330339388,57357,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s44_default_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n70_s44_default_farthestpose_i70_gteval_poseopt_steps15000,1.0711,0.4709,colmap | Pose Opt,70.0
colmap,80,42,,65029,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.076444625854492,0.3599914312362671,0.5719637870788574,1000000,,,0.3534465370587206,65029,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s42_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bonsai_2_n80_s42_default_farthestpose_i80_gteval_steps15000,0.6256,0.087851,colmap | ,80.0
colmap,80,42,,65029,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.445659637451172,0.3254335820674896,0.5804688334465027,1000000,0.01757499761879444,0.48309996724128723,0.3865895690741362,65029,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s42_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n80_s42_default_farthestpose_i80_gteval_poseopt_steps15000,0.6256,0.087851,colmap | Pose Opt,80.0
colmap,80,43,,65034,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,19.631956100463867,0.2793205976486206,0.6053560376167297,1000000,0.014246001839637756,0.3777000308036804,0.4515767478571069,65034,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s43_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bonsai_2_n80_s43_default_farthestpose_i80_gteval_steps15000,0.3777,0.062528,colmap | ,80.0
colmap,80,43,,65034,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,20.48112678527832,0.24857042729854584,0.6286658644676208,1000000,0.010968998074531555,0.24880002439022064,0.49991519523565453,65034,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s43_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n80_s43_default_farthestpose_i80_gteval_poseopt_steps15000,0.3777,0.062528,colmap | Pose Opt,80.0
colmap,80,44,,64898,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.6766300201416,0.32884010672569275,0.5843852162361145,1000000,0.018101999536156654,0.5093000531196594,0.3910542877174338,64898,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s44_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bonsai_2_n80_s44_default_farthestpose_i80_gteval_steps15000,0.5093,0.079859,colmap | ,80.0
colmap,80,44,,64898,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.87041473388672,0.3068622350692749,0.5906005501747131,1000000,0.016246000304818153,0.4163000285625458,0.4118441791794686,64898,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s44_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n80_s44_default_farthestpose_i80_gteval_poseopt_steps15000,0.5093,0.079859,colmap | Pose Opt,80.0
