choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,counter,50000,random,0.3433,0.032901,20.27870750427246,0.31149885058403015,0.6377618312835693,0.46264126313979786
VGGT,counter,50000,voxels,0.3433,0.032901,20.268014907836914,0.3227173984050751,0.6391415596008301,0.45632508124059634
VGGT,counter,100000,confidence,0.3433,0.032901,20.31502342224121,0.3125735819339752,0.635188639163971,0.46114557501245734
VGGT,counter,100000,imagefps,0.3433,0.032901,20.022554397583008,0.3194933831691742,0.6248101592063904,0.44538871319438045
VGGT,counter,100000,random,0.3433,0.032901,20.160112380981445,0.3072532117366791,0.6301777958869934,0.45863071345446405
VGGT,counter,100000,voxels,0.3433,0.032901,20.27223777770996,0.3183121383190155,0.6348035335540771,0.45658572154667876
VGGT,counter,500000,confidence,0.3433,0.032901,20.157258987426758,0.3127441704273224,0.6235941648483276,0.4513383155290456
VGGT,counter,500000,imagefps,0.3433,0.032901,19.840206146240234,0.3280807137489319,0.60648512840271,0.4259946800966864
VGGT,counter,500000,random,0.3433,0.032901,19.9309024810791,0.31040021777153015,0.6147786974906921,0.443438168661094
VGGT,counter,500000,voxels,0.3433,0.032901,20.130020141601562,0.3307231366634369,0.627448320388794,0.4419896572808928
VGGT,counter,1000000,confidence,0.3433,0.032901,20.198896408081055,0.3138055205345154,0.6236792802810669,0.4515039995942044
VGGT,counter,1000000,imagefps,0.3433,0.032901,19.80429458618164,0.3286988139152527,0.6033154129981995,0.4230944731546889
VGGT,counter,1000000,random,0.3433,0.032901,19.907190322875977,0.30888089537620544,0.6117597222328186,0.44217142534379916
VGGT,counter,1000000,voxels,0.3433,0.032901,20.13886833190918,0.35109958052635193,0.6285218596458435,0.430203261624845
COLMAP,lego,10069,,10.4269,0.396164,24.951248168945312,0.057750023901462555,0.8941664099693298,0.8557490702280368
VGGT,lego,870,confidence,0.3306,0.018825,20.780302047729492,0.12734241783618927,0.7848520278930664,0.6716245201557314
VGGT,lego,870,imagefps,0.2976,0.018838,20.732013702392578,0.1312786191701889,0.7838835716247559,0.6677341889335862
VGGT,lego,870,random,0.3306,0.018825,20.786884307861328,0.12797991931438446,0.784991979598999,0.6714347375337761
VGGT,lego,870,voxels,0.2976,0.018838,20.66238784790039,0.12895366549491882,0.7830423712730408,0.6673880478172352
VGGT,lego,4350,confidence,0.3306,0.018825,20.556303024291992,0.10778746008872986,0.7760626077651978,0.6744073398938962
VGGT,lego,4350,imagefps,0.2976,0.018838,20.58719825744629,0.10751638561487198,0.7772645950317383,0.6758497202934732
VGGT,lego,4350,random,0.3306,0.018825,20.566364288330078,0.10723959654569626,0.7763004302978516,0.675070924475024
VGGT,lego,4350,voxels,0.2976,0.018838,20.553871154785156,0.10797790437936783,0.7756953239440918,0.6740299612090059
VGGT,lego,8700,confidence,0.3306,0.018825,20.55951499938965,0.10312128812074661,0.7754286527633667,0.67697644006168
VGGT,lego,8700,imagefps,0.2976,0.018838,20.51663589477539,0.10324668139219284,0.77437424659729,0.6754883675218171
VGGT,lego,8700,random,0.3306,0.018825,20.553205490112305,0.10303780436515808,0.7753878831863403,0.6768872886218367
