method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,1.2131,0.109194,25,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | Fallback Cams,25.0
combined,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,0.1993,0.012003,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | Fallback Cams,100.0
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p25000_random_farthestpose_sharedcam,0.5117,0.037079,13,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p25000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | ,25.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_sharedcam,0.3632,0.039699,50,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p50000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | ,50.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p75000_random_farthestpose_sharedcam,0.3864,0.019997,75,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p75000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | ,75.0
combined,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_sharedcam,0.1993,0.012003,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amlocal_default_c0.0_p100000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | ,100.0
vggt,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_c0.0_p25000_random_farthestpose/eval_results.json,,bonsai_2_n25_s42_c0.0_p25000_random_farthestpose,0.9517,0.109315,25,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_c0.0_p25000_random_farthestpose/eval_results.json,bonsai_2_n25_s42_c0.0_p25000_random_farthestpose,,,vggt | random |  | ,25.0
vggt,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_c0.0_p50000_random_farthestpose/eval_results.json,,bonsai_2_n50_s42_c0.0_p50000_random_farthestpose,0.8013,0.103039,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_c0.0_p50000_random_farthestpose/eval_results.json,bonsai_2_n50_s42_c0.0_p50000_random_farthestpose,,,vggt | random |  | ,50.0
vggt,75,42,0.0,75000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_c0.0_p75000_random_farthestpose/eval_results.json,,bonsai_2_n75_s42_c0.0_p75000_random_farthestpose,0.9009,0.113361,75,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_c0.0_p75000_random_farthestpose/eval_results.json,bonsai_2_n75_s42_c0.0_p75000_random_farthestpose,,,vggt | random |  | ,75.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.40581512451172,0.3973557949066162,0.559679388999939,1000000,0.0220319963991642,0.8112999200820923,,0.31077919167462226,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.7897,0.107121,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,vggt | random |  | ,100.0
colmap,50,42,,36753,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.167011260986328,0.25821489095687866,0.6724807024002075,1000000,0.007013706024736166,0.25963860750198364,,0.5322860992132958,36753,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.3632,0.039699,50,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_default_farthestpose_sharedcam,bonsai_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,36753,colmap |  |  | ,50.0
colmap,100,42,,80962,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,23.78042221069336,0.17764073610305786,0.7430458068847656,1000000,0.0009729048470035195,0.10533700883388519,,0.6716858738811855,80962,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1993,0.012003,100,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,80962,colmap |  |  | ,100.0
colmap,25,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n25_s42_default_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_default_farthestpose_sharedcam,0.5117,0.037079,13,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n25_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_default_farthestpose_sharedcam,,,colmap |  |  | ,25.0
colmap,75,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n75_s42_default_farthestpose_sharedcam/eval_results.json,,bonsai_2_n75_s42_default_farthestpose_sharedcam,0.3864,0.019997,75,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n75_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_default_farthestpose_sharedcam,,,colmap |  |  | ,75.0
