method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,,,,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,24.955116271972656,0.06210341304540634,0.8888888359069824,1000000,2.0881897954704346e-16,0.009512265212833881,0.07773815095424652,0.018357817083597183,0.8500471238949765,0.1328773182244372,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000,0.2976,0.018838,87,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_steps15000_val_step14999.json,100000,vggt | GT Extrinsics |  | 
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,20.686031341552734,0.3352315425872803,0.4373089075088501,1000000,2.525309088834897e-16,1.7196823876020062e-07,,,0.3383105552529576,0.36463257574795804,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000_val_step14999.json,100000,vggt | GT Extrinsics |  | 
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,indoor,18.57469367980957,0.36174625158309937,0.5855710506439209,1000000,1.6629870645337583e-16,9.712622386359726e-07,,,0.3695476130280424,0.33979744215487867,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_steps15000_val_step14999.json,100000,vggt | GT Extrinsics |  | 
colmap,100,42,,54275,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,gtpcd,,,Shared Cam,,,,,,gsplat,outdoor,22.00728416442871,0.30025455355644226,0.5332949757575989,1000000,2.293229472825507e-16,2.115130200763815e-06,,,0.4405011377449234,0.32990389285155386,54275,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000_val_step14999.json,54275,colmap | GT Extrinsics |  | GT Points
colmap,100,42,,206613,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,gtpcd,,,Shared Cam,,,,,,gsplat,indoor,28.515098571777344,0.14763429760932922,0.9115330576896667,1000000,2.168954122293336e-16,1.6959106119429634e-07,,,0.8764181146767327,0.14882528740252313,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtpcd_steps15000_val_step14999.json,206613,colmap | GT Extrinsics |  | GT Points
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,gtpcd,,,,,,,,,gsplat,outdoor,21.154090881347656,0.3393186926841736,0.46837547421455383,1000000,2.525309088834897e-16,1.7196823876020062e-07,,,0.3626229752186756,0.358703648966612,54275,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000_val_step14999.json,54275,vggt | GT Extrinsics |  | GT Points
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,gtpcd,,,,,,,,,gsplat,indoor,18.71554946899414,0.35540035367012024,0.5886326432228088,1000000,1.6629870645337583e-16,9.712622386359726e-07,,,0.37786367951932864,0.33674034396150765,206613,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtpcd_steps15000_val_step14999.json,206613,vggt | GT Extrinsics |  | GT Points
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,33.13930130004883,0.033728212118148804,0.979638934135437,1000000,2.7562301225911203e-16,0.012120147235691547,0.017299264669418335,0.018193859606981277,1.0721918949064608,0.05896859514646655,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000,10.4269,0.396164,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_gtext_gtint_steps15000_val_step14999.json,10069,colmap | GT Extrinsics | GT Intrinsics | 
colmap,100,42,,17352,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,22.997255325317383,0.34948840737342834,0.6103905439376831,1000000,2.293229472825507e-16,2.115130200763815e-06,,,0.4735277968230691,0.3262301614196912,17352,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000_val_step14999.json,17352,colmap | GT Extrinsics | GT Intrinsics | 
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,28.943090438842773,0.1583382934331894,0.9078155755996704,1000000,2.168954122293336e-16,1.6959106119429634e-07,,,0.8755625190287151,0.15441090147636588,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_steps15000_val_step14999.json,80892,colmap | GT Extrinsics | GT Intrinsics | 
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,87,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,synthetic,33.284175872802734,0.031800854951143265,0.9806314706802368,1000000,2.0881897954704346e-16,0.009512265212833881,0.07379835844039917,0.017447061836719513,1.0766449147391195,0.05714705373990323,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000,0.2976,0.018838,87,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,lego_1_n87_s42_c0.0_p100000_random_farthestpose_i87_gteval_gtext_gtint_steps15000_val_step14999.json,100000,vggt | GT Extrinsics | GT Intrinsics | 
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,22.770076751708984,0.2482174187898636,0.6338316798210144,1000000,0.0,0.0,,,0.5455420087149113,0.2862067375847416,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,100000,vggt | GT Extrinsics | GT Intrinsics | 
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,indoor,26.098609924316406,0.21166729927062988,0.8379709124565125,1000000,1.6629870645337583e-16,9.712622386359726e-07,,,0.7491229822916052,0.2055503875422825,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_steps15000_val_step14999.json,100000,vggt | GT Extrinsics | GT Intrinsics | 
colmap,100,42,,54275,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,gtpcd,,,Shared Cam,,,,,,gsplat,outdoor,23.27762222290039,0.24971942603588104,0.6622080206871033,1000000,2.293229472825507e-16,2.115130200763815e-06,,,0.5706081853391598,0.2785398946327065,54275,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000,0.0986,0.006893,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000_val_step14999.json,54275,colmap | GT Extrinsics | GT Intrinsics | GT Points
colmap,100,42,,206613,,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,gtpcd,,,Shared Cam,,,,,,gsplat,indoor,29.12286949157715,0.14427711069583893,0.9143059253692627,1000000,2.168954122293336e-16,1.6959106119429634e-07,,,0.8913670293575296,0.14607880696041037,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_gtext_gtint_gtpcd_steps15000_val_step14999.json,206613,colmap | GT Extrinsics | GT Intrinsics | GT Points
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,gtpcd,,,,,,,,,gsplat,outdoor,23.288042068481445,0.25135791301727295,0.6615500450134277,1000000,2.525309088834897e-16,1.7196823876020062e-07,,,0.5694049526298874,0.2792708931231087,54275,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000_val_step14999.json,54275,vggt | GT Extrinsics | GT Intrinsics | GT Points
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,gtpcd,,,,,,,,,gsplat,indoor,28.999727249145508,0.14591477811336517,0.9131872057914734,1000000,1.6629870645337583e-16,9.712622386359726e-07,,,0.8874214896720443,0.1472712974106492,206613,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000_val_step14999.json,206613,vggt | GT Extrinsics | GT Intrinsics | GT Points
