choice,dataset,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
VGGT,garden,10,minfarthestpose,,,6.0,,,
VGGT,garden,20,farthestpose,0.14591506123542786,0.003356344997882843,20.0,18.334653854370117,0.33225375413894653,0.3257960081100464
VGGT,garden,20,minfarthestpose,,,20.0,,,
VGGT,garden,30,farthestpose,0.09548536688089371,0.0029620386194437742,30.0,19.41567611694336,0.29161977767944336,0.38543829321861267
VGGT,garden,30,minfarthestpose,,,30.0,,,
VGGT,garden,40,farthestpose,0.08842624723911285,0.0033329613506793976,40.0,19.92060089111328,0.29127728939056396,0.40400418639183044
VGGT,garden,40,minfarthestpose,,,40.0,,,
VGGT,garden,50,farthestpose,,,50.0,,,
VGGT,garden,50,minfarthestpose,,,50.0,,,
VGGT,garden,60,farthestpose,,,60.0,,,
VGGT,garden,60,minfarthestpose,,,60.0,,,
VGGT,garden,70,farthestpose,,,70.0,,,
VGGT,garden,70,minfarthestpose,,,70.0,,,
VGGT,garden,80,farthestpose,,,80.0,,,
VGGT,garden,80,minfarthestpose,,,80.0,,,
VGGT,garden,90,farthestpose,,,90.0,,,
VGGT,garden,90,minfarthestpose,,,90.0,,,
VGGT,garden,100,farthestpose,0.13491961359977722,0.004315244033932686,100.0,19.350812911987305,0.33780568838119507,0.3663502633571625
VGGT,garden,100,minfarthestpose,,,100.0,,,
COLMAP,stump,20,farthestpose,2.5334455966949463,0.038304466754198074,6.0,12.789386749267578,0.9256043434143066,0.14929628372192383
COLMAP,stump,40,farthestpose,0.6196070909500122,0.014289326034486294,11.0,14.787765502929688,0.6513059735298157,0.3428933024406433
COLMAP,stump,100,farthestpose,0.03414143621921539,0.001068504061549902,100.0,24.832897186279297,0.3404231071472168,0.6964612603187561
VGGT,stump,10,farthestpose,2.3631744384765625,0.11537380516529083,10.0,14.979829788208008,0.5985628366470337,0.2731395959854126
VGGT,stump,10,minfarthestpose,,,10.0,,,
VGGT,stump,20,farthestpose,3.0859811305999756,0.06916745752096176,20.0,15.881011962890625,0.5566140413284302,0.29004812240600586
VGGT,stump,20,minfarthestpose,,,11.5,,,
VGGT,stump,30,farthestpose,1.1974972486495972,0.033216629177331924,16.0,17.133214950561523,0.5170958042144775,0.3305170238018036
VGGT,stump,30,minfarthestpose,,,16.0,,,
VGGT,stump,40,farthestpose,0.794925332069397,0.027240118011832237,40.0,17.802413940429688,0.4980175495147705,0.359388530254364
VGGT,stump,40,minfarthestpose,,,30.5,,,
VGGT,stump,50,farthestpose,,,40.5,,,
VGGT,stump,50,minfarthestpose,,,40.5,,,
VGGT,stump,60,farthestpose,,,60.0,,,
VGGT,stump,60,minfarthestpose,,,60.0,,,
VGGT,stump,70,farthestpose,,,70.0,,,
VGGT,stump,70,minfarthestpose,,,70.0,,,
VGGT,stump,80,farthestpose,,,80.0,,,
VGGT,stump,80,minfarthestpose,,,79.5,,,
VGGT,stump,90,farthestpose,,,90.0,,,
VGGT,stump,90,minfarthestpose,,,90.0,,,
VGGT,stump,100,farthestpose,0.7774907946586609,0.03541010245680809,100.0,18.294498443603516,0.4924980700016022,0.39796870946884155
VGGT,stump,100,minfarthestpose,,,100.0,,,
