choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
VGGT,kitchen,1000,imagefps,24.648832321166992,0.24029426276683807,0.8056092858314514,0.6856793559279202,0.22820682852585522
VGGT,kitchen,1000,random,24.84990119934082,0.23393380641937256,0.8129796981811523,0.6976392439544161,0.2232219090834079
VGGT,kitchen,1000,voxels,24.28426170349121,0.2431454211473465,0.8040660619735718,0.6762656037919005,0.22983950619466836
VGGT,kitchen,5000,confidence,23.82521629333496,0.1901462823152542,0.8552263975143433,0.730398605538313,0.19159403546716108
VGGT,kitchen,5000,imagefps,25.93840789794922,0.16426871716976166,0.8670213222503662,0.7924032058515975,0.1771596324650409
VGGT,kitchen,5000,random,26.08895492553711,0.16061392426490784,0.8721027374267578,0.8004187465953392,0.17356738388516146
VGGT,kitchen,5000,voxels,25.518739700317383,0.17369523644447327,0.8649213314056396,0.7775846686821777,0.1813439948486235
VGGT,kitchen,10000,confidence,23.987329483032227,0.1779470145702362,0.8682966828346252,0.748574555539868,0.18161641149607646
VGGT,kitchen,10000,imagefps,26.108858108520508,0.15019504725933075,0.8790556788444519,0.8112847772296796,0.16680508507210873
VGGT,kitchen,10000,random,26.189146041870117,0.1440441906452179,0.8844283223152161,0.8197103126471967,0.16213579108309617
VGGT,kitchen,10000,voxels,26.013948440551758,0.15349452197551727,0.8794168829917908,0.8077017084935642,0.1677497174105398
VGGT,kitchen,20930,ba,25.2471923828125,0.17375211417675018,0.865568220615387,0.7728992027265054,0.18112960770895384
VGGT,kitchen,50000,confidence,23.833587646484375,0.1752758026123047,0.8679561018943787,0.7471772106225185,0.18093027700939102
VGGT,kitchen,50000,imagefps,25.027511596679688,0.14208084344863892,0.8777998685836792,0.7955342176442335,0.1649315019737299
VGGT,kitchen,50000,random,25.981637954711914,0.132106751203537,0.8898636102676392,0.8264148910375599,0.15549910367138176
VGGT,kitchen,50000,voxels,25.632793426513672,0.14216439425945282,0.8866281509399414,0.8118543040643967,0.1605350894432205
VGGT,kitchen,100000,confidence,24.565181732177734,0.16689038276672363,0.8742621541023254,0.7695891841655432,0.17499366285082085
VGGT,kitchen,100000,imagefps,25.344114303588867,0.13831375539302826,0.8802759647369385,0.8051706031787852,0.16241558344463236
VGGT,kitchen,100000,random,25.88842010498047,0.12953218817710876,0.8895320296287537,0.8260839641907525,0.15482555629902706
VGGT,kitchen,100000,voxels,25.261743545532227,0.1443396508693695,0.8856720328330994,0.8030811255825581,0.16181372024518478
VGGT,kitchen,500000,confidence,23.92934799194336,0.17170283198356628,0.8724957704544067,0.7538108647140765,0.17760884742134642
VGGT,kitchen,500000,imagefps,24.68146514892578,0.14184501767158508,0.8724253177642822,0.7861285093854664,0.16747464450541394
VGGT,kitchen,500000,random,25.448097229003906,0.13281364738941193,0.8816481232643127,0.8112937731933407,0.159896330307238
VGGT,kitchen,500000,voxels,23.76731300354004,0.16440774500370026,0.8737143278121948,0.7560259635336914,0.17465829566096874
VGGT,kitchen,1000000,confidence,23.423046112060547,0.1833713799715042,0.8675432801246643,0.7343359034002562,0.18395470340723233
VGGT,kitchen,1000000,imagefps,24.576215744018555,0.14375488460063934,0.8704642653465271,0.7818537018491201,0.16905067528075107
