choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,bonsai,500000,imagefps,0.7308,0.098078,18.535001754760742,0.3893390893936157,0.585231602191925,0.3515814535799083
VGGT,bonsai,500000,random,0.7308,0.098078,18.621164321899414,0.36897432804107666,0.589486837387085,0.3682363386507387
VGGT,bonsai,500000,voxels,0.7308,0.098078,18.647125244140625,0.37760400772094727,0.5954120755195618,0.3668551852441283
VGGT,bonsai,1000000,confidence,0.7308,0.098078,18.684310913085938,0.37439167499542236,0.5911149978637695,0.3670138192688047
VGGT,bonsai,1000000,imagefps,0.7308,0.098078,18.532958984375,0.39099782705307007,0.583855926990509,0.3497152239413444
VGGT,bonsai,1000000,random,0.7308,0.098078,18.65015983581543,0.36905771493911743,0.5884458422660828,0.3681130501416846
VGGT,bonsai,1000000,voxels,0.7308,0.098078,18.647062301635742,0.37938597798347473,0.5947018265724182,0.36533868773716316
COLMAP,kitchen,70681,SfM,0.1013,0.003655,21.721317291259766,0.13745442032814026,0.497666597366333,0.5148640553079076
VGGT,kitchen,1000,confidence,0.2827,0.025851,21.012767791748047,0.43533560633659363,0.5310202240943909,0.337370537836262
VGGT,kitchen,1000,imagefps,0.2827,0.025851,21.1422061920166,0.43448302149772644,0.5335012674331665,0.34174473472351063
VGGT,kitchen,1000,random,0.2827,0.025851,21.008859634399414,0.4288669526576996,0.5320281982421875,0.34188061921607377
VGGT,kitchen,1000,voxels,0.2827,0.025851,20.918622970581055,0.44738391041755676,0.5296737551689148,0.3274024817523746
VGGT,kitchen,5000,confidence,0.2827,0.025851,20.739633560180664,0.31010064482688904,0.5063709616661072,0.3952032549571805
VGGT,kitchen,5000,imagefps,0.2827,0.025851,20.972524642944336,0.30450737476348877,0.512479305267334,0.4065408193886939
VGGT,kitchen,5000,random,0.2827,0.025851,20.97922134399414,0.29624590277671814,0.5099262595176697,0.4102714972266755
VGGT,kitchen,5000,voxels,0.2827,0.025851,20.738309860229492,0.31785011291503906,0.5065983533859253,0.3905280973324146
VGGT,kitchen,10000,confidence,0.2827,0.025851,20.64032554626465,0.28404197096824646,0.4998956024646759,0.40566305904283084
VGGT,kitchen,10000,imagefps,0.2827,0.025851,20.92801284790039,0.2737444341182709,0.5048477053642273,0.4202430725020197
VGGT,kitchen,10000,random,0.2827,0.025851,20.83428192138672,0.27028828859329224,0.5021673440933228,0.4190732750356624
VGGT,kitchen,10000,voxels,0.2827,0.025851,20.762035369873047,0.28554871678352356,0.5006712675094604,0.4074404599451259
VGGT,kitchen,20722,ba,0.3459,0.019721,18.964597702026367,0.2633562386035919,0.4266534447669983,0.34456836135454033
VGGT,kitchen,50000,confidence,0.2827,0.025851,20.36192512512207,0.25969618558883667,0.4890950918197632,0.409219670171781
VGGT,kitchen,50000,imagefps,0.2827,0.025851,20.44630241394043,0.24313141405582428,0.48844560980796814,0.42062756612829144
VGGT,kitchen,50000,random,0.2827,0.025851,20.64128875732422,0.23624452948570251,0.49083322286605835,0.4298858526002439
VGGT,kitchen,50000,voxels,0.2827,0.025851,20.45781898498535,0.254117488861084,0.4875398874282837,0.4135296460945471
VGGT,kitchen,100000,confidence,0.2827,0.025851,20.318248748779297,0.2591908574104309,0.48527342081069946,0.4064878840350423
VGGT,kitchen,100000,imagefps,0.2827,0.025851,20.390846252441406,0.2403416782617569,0.48252978920936584,0.4178631150970372
VGGT,kitchen,100000,random,0.2827,0.025851,20.49005699157715,0.22959475219249725,0.4848734140396118,0.42770479682438395
VGGT,kitchen,100000,voxels,0.2827,0.025851,20.264362335205078,0.25194111466407776,0.4869026243686676,0.41091788794949435
VGGT,kitchen,500000,confidence,0.2827,0.025851,19.725194931030273,0.27033793926239014,0.47914832830429077,0.38504256576280305
VGGT,kitchen,500000,imagefps,0.2827,0.025851,20.115571975708008,0.2484835833311081,0.47444066405296326,0.4030090934313141
VGGT,kitchen,500000,random,0.2827,0.025851,20.12639808654785,0.23041480779647827,0.4776942729949951,0.41626583739795653
VGGT,kitchen,500000,voxels,0.2827,0.025851,19.510787963867188,0.26581186056137085,0.47623541951179504,0.38216248667805597
VGGT,kitchen,1000000,confidence,0.2827,0.025851,19.600431442260742,0.2736700773239136,0.47512730956077576,0.378323782489546
VGGT,kitchen,1000000,imagefps,0.2827,0.025851,19.940673828125,0.26386550068855286,0.46661365032196045,0.38569802711968915
VGGT,kitchen,1000000,random,0.2827,0.025851,19.999990463256836,0.23696142435073853,0.47009435296058655,0.4054394364744289
VGGT,kitchen,1000000,voxels,0.2827,0.025851,19.455049514770508,0.26906731724739075,0.4731311798095703,0.3773054071569536
COLMAP,counter,41914,SfM,0.0156,0.000691,27.93535614013672,0.16450491547584534,0.8961127400398254,0.8462504524546369
VGGT,counter,1000,confidence,0.3873,0.030482,20.298433303833008,0.4537251889705658,0.6581417322158813,0.38713059040383135
VGGT,counter,1000,imagefps,0.3873,0.030482,20.379301071166992,0.45736226439476013,0.6598588824272156,0.3873872147743542
VGGT,counter,1000,random,0.3873,0.030482,20.29102325439453,0.44877734780311584,0.6576958298683167,0.38978682860218916
VGGT,counter,1000,voxels,0.3873,0.030482,20.39375877380371,0.4556995630264282,0.6599545478820801,0.3887372535881553
VGGT,counter,5000,confidence,0.3873,0.030482,20.222375869750977,0.36185190081596375,0.6439658999443054,0.43414406527785065
VGGT,counter,5000,imagefps,0.3873,0.030482,20.270261764526367,0.36358171701431274,0.6446800827980042,0.43438070412190266
VGGT,counter,5000,random,0.3873,0.030482,20.272565841674805,0.3572046458721161,0.6438339948654175,0.4378650476205961
VGGT,counter,5000,voxels,0.3873,0.030482,20.237531661987305,0.36845988035202026,0.6451529860496521,0.4310399307842143
VGGT,counter,10000,confidence,0.3873,0.030482,20.158292770385742,0.3362121880054474,0.6360782384872437,0.44417165691315
VGGT,counter,10000,imagefps,0.3873,0.030482,20.165157318115234,0.34084072709083557,0.6371438503265381,0.4420648200934858
VGGT,counter,10000,random,0.3873,0.030482,20.17613983154297,0.3326956331729889,0.6362737417221069,0.4467872002823466
VGGT,counter,10000,voxels,0.3873,0.030482,20.141611099243164,0.34261858463287354,0.6378473043441772,0.44094271269458085
VGGT,counter,26540,ba,0.4512,0.019227,19.20227813720703,0.3469636142253876,0.6140293478965759,0.40693691130812254
VGGT,counter,50000,confidence,0.3873,0.030482,20.098201751708984,0.3046751618385315,0.6225287914276123,0.454602507122776
VGGT,counter,50000,imagefps,0.3873,0.030482,20.005346298217773,0.3079538941383362,0.6209235787391663,0.44992033199027737
VGGT,counter,50000,random,0.3873,0.030482,20.092493057250977,0.2989586591720581,0.622032642364502,0.457735350257472
VGGT,counter,50000,voxels,0.3873,0.030482,20.07815170288086,0.30640915036201477,0.6249388456344604,0.45457023506121175
VGGT,counter,100000,confidence,0.3873,0.030482,20.104398727416992,0.2985679507255554,0.6186600923538208,0.4562247522160788
