choice,dataset,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,garden,40,0.0553,0.003176,21.740819931030273,0.324906587600708,0.5058983564376831,40
COLMAP,garden,50,0.0593,0.003296,21.612417221069336,0.3072568476200104,0.4805939197540283,50
COLMAP,garden,60,0.061,0.003353,21.491430282592773,0.2942298352718353,0.4748828113079071,60
COLMAP,garden,70,0.0575,0.003012,21.828954696655273,0.2892979085445404,0.4910716712474823,70
COLMAP,garden,80,0.0602,0.002796,21.89204978942871,0.2789727747440338,0.4924449622631073,80
COLMAP,garden,90,0.061,0.002742,21.615209579467773,0.2742122411727905,0.4717768430709839,90
COLMAP,garden,100,0.0628,0.002621,21.593313217163086,0.27146899700164795,0.4668513238430023,100
VGGT,garden,10,0.7164,0.041493,15.705806732177734,0.45390960574150085,0.24210357666015625,10
VGGT,garden,20,0.304,0.021383,17.63550567626953,0.3881603181362152,0.29234230518341064,20
VGGT,garden,30,0.2764,0.019966,18.296157836914062,0.38348087668418884,0.31613776087760925,30
VGGT,garden,40,0.2895,0.024777,18.477710723876953,0.39906367659568787,0.33155709505081177,40
VGGT,garden,50,0.3082,0.026561,18.490015029907227,0.4125257432460785,0.33474934101104736,50
VGGT,garden,60,0.3446,0.026512,18.57674789428711,0.42809295654296875,0.34289664030075073,60
VGGT,garden,70,0.3449,0.026617,18.509471893310547,0.44716542959213257,0.3433394432067871,70
VGGT,garden,80,0.3373,0.027213,18.648509979248047,0.4542264938354492,0.3519868850708008,80
VGGT,garden,90,0.3785,0.027125,18.36630630493164,0.4733390510082245,0.3512688875198364,90
VGGT,garden,100,0.3733,0.026869,18.581771850585938,0.4816316068172455,0.357485294342041,100
COLMAP,stump,20,0.868,0.030879,13.261056900024414,0.9025721549987793,0.21870732307434082,6
COLMAP,stump,40,0.1699,0.003551,14.14830493927002,0.6600099802017212,0.3183920383453369,11
COLMAP,stump,50,0.1043,0.011327,18.548948287963867,0.570600152015686,0.4627021849155426,31
COLMAP,stump,60,0.0459,0.006411,22.32096290588379,0.45566052198410034,0.5940389633178711,60
COLMAP,stump,70,0.0445,0.004186,23.635705947875977,0.401500940322876,0.6541711688041687,70
COLMAP,stump,80,0.0281,0.002677,24.567461013793945,0.3754517138004303,0.6963680386543274,80
COLMAP,stump,90,0.0232,0.002449,24.89565658569336,0.3640785217285156,0.7062732577323914,90
COLMAP,stump,100,0.0219,0.002013,25.253517150878906,0.34493592381477356,0.7209020853042603,100
VGGT,stump,10,2.3893,0.483844,14.957914352416992,0.5995839834213257,0.27082401514053345,10
VGGT,stump,20,1.5109,0.298849,15.908185958862305,0.5520498156547546,0.2879822552204132,20
VGGT,stump,30,5.3824000000000005,0.1760465,17.118066787719727,0.519586980342865,0.3277062773704529,16
VGGT,stump,40,0.8703,0.125919,17.673416137695312,0.5088943243026733,0.35270050168037415,40
VGGT,stump,50,0.8488,0.142617,17.815614700317383,0.5122337937355042,0.3634345531463623,50
VGGT,stump,60,0.9791,0.149199,17.934579849243164,0.5172075629234314,0.3724989593029022,60
VGGT,stump,70,0.9124,0.146258,18.518672943115234,0.5033522844314575,0.39350372552871704,70
VGGT,stump,80,1.0592,0.162752,18.66378402709961,0.5080412030220032,0.40219390392303467,80
VGGT,stump,90,0.8922,0.169476,18.606937408447266,0.5228365659713745,0.40655484795570374,90
