method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.034791946411133,0.5570768117904663,0.25503313541412354,1000000,0.006364000029861927,0.33650001883506775,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,0.233,0.02279,colmap |  | Pose Opt,60.0
colmap,60,43,,3831,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.796051025390625,0.5794790387153625,0.29680755734443665,1000000,0.0075309993699193,0.16590000689029694,3831,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s43_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,0.1659,0.024614,colmap |  | ,60.0
colmap,60,43,,3831,,farthestpose,60,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.63692283630371,0.567767858505249,0.278470516204834,1000000,0.006253999657928944,0.32499998807907104,3831,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s43_default_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,0.1659,0.024614,colmap |  | Pose Opt,60.0
colmap,60,44,,4223,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.098934173583984,0.557503879070282,0.30724674463272095,1000000,0.005735000595450401,0.16520000994205475,4223,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s44_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,0.1652,0.017761,colmap |  | ,60.0
colmap,60,44,,4223,,farthestpose,60,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.472856521606445,0.5568581223487854,0.27205541729927063,1000000,0.00508899986743927,0.2931000292301178,4223,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s44_default_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,0.1652,0.017761,colmap |  | Pose Opt,60.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.885038375854492,0.5156506299972534,0.361318975687027,1000000,0.005857999436557293,0.10190001130104065,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,0.1019,0.017934,colmap |  | ,70.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.28184700012207,0.5251407623291016,0.25348880887031555,1000000,0.005338000599294901,0.2500999867916107,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,0.1019,0.017934,colmap |  | Pose Opt,70.0
colmap,70,43,,5389,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.79737663269043,0.526833176612854,0.2763304114341736,1000000,0.00981799978762865,0.3009999692440033,5389,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s43_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,0.301,0.031463,colmap |  | ,70.0
colmap,70,43,,5389,,farthestpose,70,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,18.186323165893555,0.5037256479263306,0.34990668296813965,1000000,0.009033999405801296,0.19830001890659332,5389,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s43_default_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,0.301,0.031463,colmap |  | Pose Opt,70.0
colmap,70,44,,5419,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.600683212280273,0.5179861187934875,0.34469589591026306,1000000,0.0059270006604492664,0.112900011241436,5419,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s44_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,0.1129,0.018014,colmap |  | ,70.0
