method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
vggt,40,42,0.0,44000.0,voxels,farthestpose,40.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,16.36321449279785,0.5116657018661499,0.23805102705955505,1000000.0,0.0186419989913702,0.8855998516082764,43515.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,0.8856,0.086546,vggt | voxels,40.0
vggt,40,43,0.0,44000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s43_c0.0_p44000_voxels_farthestpose/eval_results.json,0.9061,0.087753,vggt | voxels,40.0
vggt,40,44,0.0,44000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s44_c0.0_p44000_voxels_farthestpose/eval_results.json,0.9262,0.092425,vggt | voxels,40.0
vggt,50,42,0.0,55000.0,voxels,farthestpose,50.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,16.71922492980957,0.4964630901813507,0.24436457455158234,1000000.0,0.01934400014579296,0.9197998642921448,55619.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | voxels,50.0
vggt,50,43,0.0,55000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s43_c0.0_p55000_voxels_farthestpose/eval_results.json,0.7686,0.079451,vggt | voxels,50.0
vggt,50,44,0.0,55000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s44_c0.0_p55000_voxels_farthestpose/eval_results.json,0.9165,0.086201,vggt | voxels,50.0
vggt,60,42,0.0,66000.0,voxels,farthestpose,60.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,16.857772827148438,0.48724356293678284,0.24999183416366577,1000000.0,0.01655600033700466,0.836899995803833,67566.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,0.8369,0.071063,vggt | voxels,60.0
vggt,60,43,0.0,66000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s43_c0.0_p66000_voxels_farthestpose/eval_results.json,0.843,0.073217,vggt | voxels,60.0
vggt,60,44,0.0,66000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s44_c0.0_p66000_voxels_farthestpose/eval_results.json,0.8331,0.074361,vggt | voxels,60.0
vggt,70,42,0.0,77000.0,voxels,farthestpose,70.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,16.89417839050293,0.4912687838077545,0.2537054121494293,1000000.0,0.01743599958717823,0.9155000448226929,76966.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,0.9155,0.07769,vggt | voxels,70.0
