choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
VGGT,lego,87000,voxels,33.301055908203125,0.03182912990450859,0.9807707071304321,1.0770214791370334,0.05698882573214528
VGGT,lego,435000,confidence,33.26312255859375,0.03115025907754898,0.9802699685096741,1.076445236163065,0.057361871106378456
VGGT,lego,435000,imagefps,33.22806930541992,0.031531769782304764,0.9795960187911987,1.0751664787676134,0.05828327375971405
VGGT,lego,435000,random,33.262264251708984,0.03138595446944237,0.9800705909729004,1.0761672555577297,0.05767644343495424
VGGT,lego,435000,voxels,33.24080276489258,0.03137151524424553,0.9801467657089233,1.0758232803479117,0.057582391738386376
VGGT,lego,870000,confidence,33.202056884765625,0.030985035002231598,0.9799816012382507,1.0752477446901403,0.05764994306384775
VGGT,lego,870000,imagefps,33.21091079711914,0.031014584004878998,0.9794365167617798,1.0750747030531917,0.05829724849758836
VGGT,lego,870000,random,33.191314697265625,0.031180404126644135,0.9797248244285583,1.0747780551900328,0.05801697251486744
VGGT,lego,870000,voxels,33.287899017333984,0.031024016439914703,0.9803515672683716,1.0770297055995022,0.05722197466350454
VGGT,ship,870,confidence,,,,,
VGGT,ship,870,imagefps,,,,,
VGGT,ship,870,random,,,,,
VGGT,ship,870,voxels,,,,,
VGGT,ship,4350,confidence,,,,,
VGGT,ship,4350,imagefps,,,,,
VGGT,ship,4350,random,,,,,
VGGT,ship,4350,voxels,,,,,
VGGT,ship,8700,confidence,,,,,
VGGT,ship,8700,imagefps,,,,,
VGGT,ship,8700,random,,,,,
VGGT,ship,8700,voxels,,,,,
VGGT,ship,43500,confidence,,,,,
VGGT,ship,43500,imagefps,,,,,
VGGT,ship,43500,random,,,,,
VGGT,ship,43500,voxels,,,,,
VGGT,ship,87000,confidence,,,,,
VGGT,ship,87000,imagefps,,,,,
VGGT,ship,87000,random,,,,,
VGGT,ship,87000,voxels,,,,,
VGGT,ship,435000,confidence,,,,,
VGGT,ship,435000,imagefps,,,,,
VGGT,ship,435000,random,,,,,
VGGT,ship,435000,voxels,,,,,
VGGT,ship,870000,confidence,,,,,
VGGT,ship,870000,imagefps,,,,,
VGGT,ship,870000,random,,,,,
VGGT,ship,870000,voxels,,,,,
VGGT,ship,,ba,,,,,
VGGT,ship,,,,,,,
VGGT,drums,870,confidence,,,,,
VGGT,drums,870,imagefps,,,,,
VGGT,drums,870,random,,,,,
VGGT,drums,870,voxels,,,,,
VGGT,drums,4350,confidence,,,,,
VGGT,drums,4350,imagefps,,,,,
VGGT,drums,4350,random,,,,,
VGGT,drums,4350,voxels,,,,,
VGGT,drums,8700,confidence,,,,,
VGGT,drums,8700,imagefps,,,,,
VGGT,drums,8700,random,,,,,
VGGT,drums,8700,voxels,,,,,
VGGT,drums,43500,confidence,,,,,
VGGT,drums,43500,imagefps,,,,,
VGGT,drums,43500,random,,,,,
VGGT,drums,43500,voxels,,,,,
VGGT,drums,87000,confidence,,,,,
VGGT,drums,87000,imagefps,,,,,
VGGT,drums,87000,random,,,,,
VGGT,drums,87000,voxels,,,,,
VGGT,drums,435000,confidence,,,,,
VGGT,drums,435000,imagefps,,,,,
