method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
vggt,75,43,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.772825241088867,0.38125577569007874,0.24226857721805573,1000000,0.0073480005376040936,0.7091999650001526,0.12337508249623659,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s43_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000,0.8387,0.040488,75,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,75.0
vggt,100,42,0.0,110000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.73583221435547,0.3705008924007416,0.24191710352897644,1000000,0.00774999987334013,0.7018999457359314,0.12912330312183573,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000,0.8705,0.046584,100,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,100.0
vggt,100,43,0.0,110000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.836997985839844,0.3697267472743988,0.24506208300590515,1000000,0.007846999913454056,0.6819999814033508,0.13331377998120297,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000,0.8487,0.046357,100,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,100.0
vggt,25,42,0.0,27500,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,15.526095390319824,0.5049886107444763,0.2093852311372757,1000000,0.03318300098180771,1.7568998336791992,0.004679172475900365,27500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000,1.7644,0.146203,25,vggt | random | Use BA | 3000.0 | Shared Cam | radial,25.0
vggt,25,43,0.0,27500,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,15.574604034423828,0.4870421588420868,0.2100595086812973,1000000,0.023492000997066498,1.2266000509262085,0.017049851783147697,27500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s43_mradial_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s43_mradial_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000,1.199,0.112247,25,vggt | random | Use BA | 3000.0 | Shared Cam | radial,25.0
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.644386291503906,0.41732513904571533,0.23117999732494354,1000000,0.013909000903367996,0.7702000141143799,0.09224699467633593,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000,0.8398,0.073226,50,vggt | random | Use BA | 3000.0 | Shared Cam | radial,50.0
vggt,50,43,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,17.073373794555664,0.3963346481323242,0.2497996687889099,1000000,0.009189000353217125,0.6566000580787659,0.12403699761478063,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s43_mradial_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_mradial_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000,0.8098,0.049791,50,vggt | random | Use BA | 3000.0 | Shared Cam | radial,50.0
vggt,75,42,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.758989334106445,0.3713589310646057,0.23685790598392487,1000000,0.008421000093221664,0.6248999238014221,0.12606389012098157,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000,0.7757,0.046518,75,vggt | random | Use BA | 3000.0 | Shared Cam | radial,75.0
vggt,75,43,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.940515518188477,0.3728865087032318,0.24552567303180695,1000000,0.007361999712884426,0.6305000185966492,0.13355140658149944,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s43_mradial_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s43_mradial_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000,0.7681,0.041974,75,vggt | random | Use BA | 3000.0 | Shared Cam | radial,75.0
vggt,100,42,0.0,110000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.909183502197266,0.36254313588142395,0.24365952610969543,1000000,0.007700000423938036,0.6276999115943909,0.13826466811175778,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba3000_sharedcam_i100_gteval_poseopt_steps15000,0.7917,0.048267,100,vggt | random | Use BA | 3000.0 | Shared Cam | radial,100.0
