method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,40,42,,1994,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,14.8743314743042,0.6931066513061523,0.26392343640327454,1000000,0.00294899963773787,0.5307000279426575,,-0.0916190896427731,1994,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,0.3116,0.017061,18,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,1994,colmap | default | Pose Opt,40.0
colmap,50,42,,3071,,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,15.93283748626709,0.5932520031929016,0.2600829303264618,1000000,0.002950000111013651,0.39239996671676636,,-0.012624364769869204,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.1891,0.008857,29,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_farthestpose_sharedcam,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,3071,colmap | default | Pose Opt,50.0
colmap,60,42,,4084,,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.28477668762207,0.54053795337677,0.2567116320133209,1000000,0.00417400011792779,0.24899998307228088,,0.02446104528998468,4084,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000,0.1177,0.009469,35,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_farthestpose_sharedcam,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_poseopt_steps15000_val_step14999.json,4084,colmap | default | Pose Opt,60.0
colmap,70,42,,5456,,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.85085678100586,0.5083832144737244,0.27279427647590637,1000000,0.003145999973639846,0.21660000085830688,,0.06419766948469437,5456,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000,0.1038,0.008064,41,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_farthestpose_sharedcam,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_poseopt_steps15000_val_step14999.json,5456,colmap | default | Pose Opt,70.0
colmap,80,42,,7165,,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.42554473876953,0.47730299830436707,0.30026882886886597,1000000,0.0025099997874349356,0.20320001244544983,,0.11009234739945573,7165,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000,0.1453,0.00542,48,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_default_farthestpose_sharedcam,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_poseopt_steps15000_val_step14999.json,7165,colmap | default | Pose Opt,80.0
colmap,90,42,,13426,,,,,0,10,farthestpose,90,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.922880172729492,0.3709632456302643,0.5363904237747192,1000000,0.002447000239044428,0.11869999766349792,,0.3971009635940784,13426,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000,0.1147,0.009408,90,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n90_s42_default_farthestpose_sharedcam,bicycle_4_n90_s42_default_farthestpose_sharedcam_i90_gteval_poseopt_steps15000_val_step14999.json,13426,colmap | default | Pose Opt,90.0
colmap,100,42,,16687,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.471338272094727,0.35102325677871704,0.5768165588378906,1000000,0.0024700001813471317,0.09790000319480896,,0.44320724481417806,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1069,0.008457,100,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,16687,colmap | default | Pose Opt,100.0
colmap,10,42,,437,,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,9.233965873718262,0.9534136056900024,0.03502871096134186,481110,,,,-0.4906101742295803,437,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_relaxed_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_relaxed_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_relaxed_farthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n10_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n10_s42_relaxed_farthestpose_sharedcam,bicycle_4_n10_s42_relaxed_farthestpose_sharedcam_i10_gteval_steps15000_val_step14999.json,437,colmap | relaxed | ,10.0
colmap,20,42,,1098,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,9.181894302368164,0.9647963643074036,0.06059371680021286,1000000,0.5374279618263245,66.00598907470703,,-0.4836505609839824,1098,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_relaxed_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_relaxed_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_relaxed_farthestpose_sharedcam_i20_gteval_steps15000,66.006,0.63768,6,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_relaxed_farthestpose_sharedcam,bicycle_4_n20_s42_relaxed_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,1098,colmap | relaxed | ,20.0
colmap,30,42,,5338,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,13.48920726776123,0.6199548244476318,0.18359267711639404,1000000,0.0056859999895095825,0.3584999740123749,,-0.1190911414485383,5338,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_relaxed_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_relaxed_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_relaxed_farthestpose_sharedcam_i30_gteval_steps15000,0.3585,0.021015,17,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_relaxed_farthestpose_sharedcam,bicycle_4_n30_s42_relaxed_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,5338,colmap | relaxed | ,30.0
colmap,40,42,,9564,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,5.8241868019104,0.8519032001495361,0.16649757325649261,1000000,0.9780459403991699,65.36180877685547,,-0.4142111113429301,9564,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_relaxed_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_relaxed_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_relaxed_farthestpose_sharedcam_i40_gteval_steps15000,65.3618,1.36219,17,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_relaxed_farthestpose_sharedcam,bicycle_4_n40_s42_relaxed_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,9564,colmap | relaxed | ,40.0
colmap,50,42,,20697,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,13.202658653259277,0.6485230922698975,0.1869305521249771,1000000,0.37501999735832214,24.150501251220703,,-0.14008035680703937,20697,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_steps15000,24.1505,1.641828,50,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_relaxed_farthestpose_sharedcam,bicycle_4_n50_s42_relaxed_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,20697,colmap | relaxed | ,50.0
colmap,60,42,,31380,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,16.29793357849121,0.45226332545280457,0.24721179902553558,1000000,0.05246300250291824,2.45740008354187,,0.07363974459377338,31380,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_relaxed_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_relaxed_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_relaxed_farthestpose_sharedcam_i60_gteval_steps15000,2.4574,0.208908,60,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_relaxed_farthestpose_sharedcam,bicycle_4_n60_s42_relaxed_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,31380,colmap | relaxed | ,60.0
colmap,70,42,,40962,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,,,,,Shared Cam,,,,,gsplat,14.019426345825195,0.5757213234901428,0.20639759302139282,1000000,0.3196280300617218,11.668399810791016,,-0.06863143128028844,40962,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_relaxed_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_relaxed_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_relaxed_farthestpose_sharedcam_i70_gteval_steps15000,11.6684,2.542046,70,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_relaxed_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_relaxed_farthestpose_sharedcam,bicycle_4_n70_s42_relaxed_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,40962,colmap | relaxed | ,70.0
